student_id,prova1,prova2,prova3,lista-exercicios,extra,total,mencao
160147816,5.35,4.5,4.95,,0,44,MI
180023179,7.17,7.31,7.95,0.03,0,67,MM
180053299,5.88,0.83,7.36,0.03,0,42,MI
180062778,5.68,4.3,9.14,,0,57,MM
180132466,,3.9,6.11,,0,30,MI
190058048,1.02,0.5,,,0,5,II
190118059,6.13,4.5,10.0,7.0,0,70,MM
200058576,10.0,6.32,8.5,,0,74,MS
202016909,9.73,6.85,10.0,,0,80,MS
202017049,5.23,7.66,7.84,7.0,0,70,MS
202017129,3.97,5.74,6.82,,0,50,MM
202017361,8.09,7.41,10.0,0.0,0,76,MS
202023627,4.82,4.5,7.63,0.03,0,51,MM
202046265,8.83,5.19,7.74,7.0,0,72,MS
202063462,,2.59,7.74,0.03,0,31,MI
211030264,10.0,7.18,9.71,7.0,0,88,MS
211030747,4.08,7.18,7.71,0.03,0,57,MM
211030765,5.6,7.18,9.74,2.27,0,70,MS
211030863,5.27,7.65,7.71,,0,62,MM
211030980,5.73,7.24,10.0,7.0,0,76,MS
211031056,0.0,,,,0,0,II
211031520,10.0,6.2,5.93,7.0,0,73,MS
211031557,1.72,3.91,4.74,0.03,0,31,MI
211031575,5.61,6.74,6.11,0.03,0,55,MM
211041123,4.2,5.82,9.95,3.92,0,64,MM
211045122,8.96,2.9,9.04,7.0,0,70,MS
211045178,9.83,3.16,6.12,0.03,0,57,MM
211061592,5.87,5.79,9.95,6.42,0,71,MS
211061940,4.12,5.45,5.52,0.03,1,46,MI
211062016,8.36,7.18,8.67,7.0,0,80,MS
211062203,7.41,7.18,10.0,7.0,0,81,MS
211062615,10.0,7.75,8.39,4.94,0,83,MS
211062713,9.01,8.18,9.71,9.97,0,91,SS
211062769,6.78,8.11,5.95,10.0,0,73,MS
211062787,9.53,5.82,6.5,0.0,0,66,MM
211062796,5.53,7.75,7.55,10.0,0,72,MS
211063185,8.93,6.82,10.0,10.0,0,87,MS
212005453,8.57,6.62,7.58,3.58,0,72,MS
221007644,8.6,3.16,9.89,0.0,0,65,MM
221008033,7.92,7.14,9.57,10.0,0,84,MS
221008409,1.97,5.25,4.63,0.06,0,36,MI
221022023,5.04,4.12,7.36,0.06,0,50,MM
221022480,4.71,5.5,8.54,10.0,0,66,MM
221022490,4.69,7.75,9.52,10.0,0,76,MS
221022506,8.54,6.0,9.66,5.78,0,78,MS
221022622,3.84,,,,0,12,II
221022767,4.12,7.71,9.14,9.86,0,73,MS
221031336,4.22,3.7,9.63,,0,53,MM
222006131,9.14,5.92,7.14,10.0,0,77,MS
222006230,6.68,7.18,7.15,9.39,0,72,MS
222006276,4.9,6.36,7.73,5.99,0,63,MM
222006285,10.0,4.36,10.0,0.06,0,73,MS
222006392,5.71,4.16,9.41,,0,58,MM
222006534,9.66,3.7,4.0,0.06,0,52,MM
222006660,7.19,7.22,2.0,10.0,0,59,MM
222006679,3.96,7.38,8.14,0.0,0,58,MM
222006688,7.61,7.1,9.92,10.0,0,84,MS
222006991,8.66,6.32,10.0,,0,75,MS
222014886,8.1,7.75,10.0,8.75,0,86,MS
222021942,7.27,7.68,8.61,0.06,0,71,MS
222021998,2.95,4.48,7.89,9.55,0,56,MM
222022082,8.18,6.7,8.9,10.0,0,81,MS
222024158,3.87,5.96,,,0,29,II
222025950,9.96,6.35,10.0,0.06,0,79,MS
222037559,4.2,,,,0,13,II
222037700,10.0,6.75,10.0,10.0,0,90,SS
231011079,5.95,5.8,8.29,9.94,0,70,MS
231011275,8.93,4.32,9.74,0.06,0,70,MS
231011570,5.33,7.1,9.81,10.0,0,77,MS
231011749,9.78,7.75,10.0,10.0,0,93,SS
231011909,8.63,7.51,9.74,,0,78,MS
231011972,4.01,4.3,9.33,10.0,0,63,MM
231012281,7.82,5.75,10.0,,0,71,MS
231026311,6.11,7.52,10.0,,0,71,MS
231026330,8.49,6.24,9.52,10.0,0,83,MS
231026607,7.45,5.79,5.71,,0,57,MM
231026616,9.45,6.1,10.0,10.0,0,87,MS
231026797,8.92,7.18,10.0,10.0,0,90,MS
231026984,9.0,10.0,9.55,9.97,0,96,SS
231026993,4.56,1.2,4.77,,0,32,MI
231029734,8.87,7.72,9.55,9.97,0,90,MS
231030691,8.35,5.54,10.0,,0,72,MS
231034082,6.96,4.63,9.44,9.97,0,73,MS
231035731,7.78,8.82,10.0,10.0,0,90,SS
231039178,9.39,8.21,9.49,10.0,0,91,SS
232001371,6.7,4.5,10.0,0.0,0,64,MM
232001380,4.88,6.54,10.0,10.0,0,74,MS
232001999,6.68,8.25,9.89,10.0,0,84,MS
232002000,9.2,6.75,8.5,9.97,0,83,MS
232002655,4.92,6.4,7.87,0.06,0,58,MM
232002664,9.02,4.32,10.0,10.0,0,80,MS
232003652,9.25,8.82,10.0,,0,84,MS
232003714,5.89,6.69,10.0,0.0,0,68,MM
232004506,5.44,5.69,9.71,9.97,0,72,MS
232007016,9.7,8.82,10.0,,0,86,MS
232013917,5.18,7.32,10.0,,0,68,MM
232013944,5.82,7.35,10.0,0.0,0,70,MS
232013971,9.25,8.82,10.0,,0,84,MS
232014001,9.69,7.18,10.0,7.46,0,90,MS
232014039,8.46,5.46,8.5,,0,67,MM
232014057,10.0,6.75,9.74,9.86,0,90,SS
232014075,8.01,3.33,10.0,0.06,0,64,MM
232014093,5.6,6.75,10.0,0.0,4,71,MS
232014191,4.4,6.54,10.0,0.06,0,63,MM
232014271,5.08,7.35,10.0,9.97,0,77,MS
232014333,8.49,6.97,9.81,,0,76,MS
232014450,5.22,6.16,7.93,0.0,0,58,MM
232014576,8.34,7.73,10.0,0.0,5,83,MS
232014638,6.49,7.75,10.0,0.06,0,73,MS
232014709,4.93,8.25,10.0,9.89,0,79,MS
232014754,9.83,7.18,10.0,9.89,0,91,SS
232014763,9.85,8.82,10.0,,0,86,MS
232024492,6.0,,4.24,0.06,0,31,MI
232024527,6.93,5.91,10.0,,0,70,MM
232025730,6.21,8.42,9.81,10.0,0,83,MS
232027476,9.63,5.67,10.0,10.0,0,86,MS
232027485,5.81,6.85,10.0,9.97,0,78,MS
232029210,8.7,4.33,10.0,0.06,0,70,MS
241010914,6.69,7.01,10.0,10.0,0,81,MS
241011330,4.56,7.67,6.5,10.0,0,66,MM
241025336,3.37,6.33,9.1,0.0,0,56,MM
241025480,,6.2,10.0,10.0,0,59,MM
241025523,3.46,7.71,10.0,0.0,0,64,MM
